Scenario_Number,Solution_Type,First_Solution_Time,Final_Solution_Time
0,1,37,10001
1,1,15,10001
2,2,0,1
3,1,0,10001
4,1,0,10001
5,1,2,10001
6,1,0,10001
7,2,0,1
8,2,0,1
9,2,0,5
10,1,0,10001
11,2,0,0
12,1,0,10001
13,1,114,10001
14,1,0,10001
15,1,185,10001
16,1,15,10001
17,2,0,0
18,2,0,0
19,1,1,10001
20,2,121,11078
21,2,0,0
22,1,2028,10001
23,2,0,32
24,2,0,0
25,1,0,10001
26,1,8,10001
27,2,0,0
28,2,0,4825
29,2,0,1
30,1,25,10001
31,2,14,2946
32,2,0,57
33,2,0,0
34,2,0,40
35,2,1,358
36,1,1,10001
37,0,10001,10001
38,2,0,0
39,1,0,10001
40,1,10,10001
41,2,0,1
42,2,3,112
43,2,0,0
44,1,0,10001
45,1,13,10001
46,2,0,0
47,1,11,10001
48,1,9,10001
49,1,15,10001
50,2,0,0
51,1,0,10001
52,2,25,455
53,2,0,0
54,2,0,0
55,1,0,10001
56,2,0,201
57,2,0,1551
58,1,2,10001
59,2,0,330
60,2,0,4934
61,2,0,88
62,1,0,10001
63,2,0,0
64,2,0,2
65,2,0,0
66,2,0,202
67,2,0,0
68,2,0,0
69,1,0,10001
70,2,34,997
71,1,1324,10001
72,1,18,10001
73,1,43,10001
74,2,0,1310
75,2,8,102
76,2,0,0
77,1,755,10001
78,2,0,0
79,2,0,0
80,2,0,0
81,2,11,36
82,1,192,10001
83,2,0,0
84,1,0,10001
85,1,0,10001
86,2,1,229
87,2,0,82
88,1,1221,10001
89,1,6,10001
90,2,1,9
91,2,0,1787
92,2,0,93
93,2,0,0
94,1,17,10001
95,2,0,0
96,1,0,10001
97,2,0,0
98,2,0,1
99,1,4,10001
100,2,0,0
101,2,0,0
102,1,2,10001
103,2,0,0
104,2,33,10473
105,2,0,1
106,2,0,7863
107,2,0,1124
108,1,0,10001
109,1,95,10001
110,2,0,0
111,1,777,10001
112,1,11,10001
113,2,0,1
114,2,0,1
115,2,0,0
116,2,3,8946
117,1,0,10001
118,1,0,10001
119,2,0,1
120,1,0,10001
121,2,0,19
122,1,0,10001
123,2,2,10982
124,1,0,10001
125,2,3,10647
126,2,2,14
127,2,24,3675
128,2,3,4273
129,2,0,0
130,2,0,6
131,1,254,10001
132,1,0,10001
133,1,0,10001
134,2,0,0
135,1,0,10001
136,1,0,10001
137,2,0,0
138,2,0,156
139,2,0,0
140,2,0,6453
141,1,0,10001
142,1,0,10001
143,2,0,0
144,2,0,90
145,2,0,10440
146,1,0,10001
147,1,69,10001
148,1,0,10001
149,2,0,1551
150,1,0,10001
151,1,31,10001
152,1,0,10001
153,2,0,0
154,2,10,187
155,2,0,0
156,2,0,0
157,2,0,267
158,1,4,10001
159,1,4,10001
160,1,5,10001
161,1,0,10001
162,2,0,0
163,1,3,10001
164,2,0,1254
165,2,0,1
166,1,514,10001
167,1,9,10001
168,1,10,10001
169,2,0,0
170,1,12,10001
171,2,0,791
172,2,0,0
173,1,0,10001
174,1,602,10001
175,2,0,0
176,1,2,10001
177,2,1,235
178,1,0,10001
179,2,0,3
180,1,0,10001
181,1,7,10001
182,2,0,2
183,1,54,10001
184,1,233,10001
185,2,0,0
186,1,11,10001
187,2,0,0
188,2,0,0
189,1,89,10001
190,2,0,0
191,1,0,10001
192,1,0,10001
193,2,0,1
194,1,6,10001
195,1,0,10001
196,1,0,10001
197,1,1,10001
198,2,0,0
199,2,0,0
200,2,0,0
201,2,0,0
202,2,0,0
203,1,1,10001
204,1,3,10001
205,2,0,0
206,1,0,10001
207,1,0,10001
208,2,7,4571
209,1,9,10001
210,2,0,0
211,2,6,2809
212,2,0,1
213,2,40,1503
214,2,2,754
215,2,0,1144
216,2,0,0
217,2,4,10000
218,2,8,1533
219,2,0,0
220,1,60,10001
221,2,0,0
222,1,0,10001
223,2,0,0
224,1,11,10001
225,2,0,0
226,2,0,0
227,2,0,5171
228,1,2,10001
229,1,0,10001
230,2,0,0
231,2,7,306
232,2,0,557
233,1,0,10001
234,1,1641,10001
235,1,14,10001
236,1,0,10001
237,2,0,0
238,2,0,4
239,2,1,143
240,1,0,10001
241,2,0,1
242,1,68,10001
243,1,33,10001
244,2,0,0
245,1,4,10001
246,1,9,10001
247,1,33,10001
248,2,0,0
249,2,36,4224
250,2,0,5
251,2,0,52
252,2,0,0
253,1,0,10001
254,1,0,10001
255,1,10,10001
256,0,10001,10001
257,1,4,10001
258,1,32,10001
259,2,0,0
260,2,0,0
261,1,64,10001
262,1,0,10001
263,2,0,0
264,2,0,2
265,2,0,0
266,2,0,0
267,2,0,0
268,1,0,10001
269,1,0,10001
270,1,0,10001
271,1,0,10001
272,2,0,0
273,2,0,0
274,1,0,10001
275,2,0,0
276,1,25,10001
277,2,0,0
278,2,0,0
279,1,0,10001
280,2,0,0
281,2,0,0
282,1,10,10001
283,2,61,7046
284,2,0,280
285,1,3,10001
286,1,180,10001
287,1,3,10001
288,2,0,1
289,1,0,10001
290,1,0,10001
291,2,0,49
292,1,20,10001
293,2,0,111
294,1,0,10001
295,1,109,10001
296,2,0,0
297,2,0,0
298,1,104,10001
299,2,0,0
300,1,4,10001
301,2,0,0
302,2,3,5697
303,2,0,0
304,2,0,0
305,2,0,0
306,1,360,10001
307,2,0,1
308,2,0,3789
309,1,46,10001
310,2,0,0
311,1,0,10001
312,1,1,10001
313,1,9,10001
314,1,57,10001
315,1,12,10001
316,1,20,10001
317,2,150,417
318,1,1,10001
319,1,0,10001
320,1,0,10001
321,2,0,0
322,2,0,4653
323,1,0,10001
324,1,34,10001
325,1,4,10001
326,2,0,642
327,2,0,2
328,2,0,0
329,1,8,10001
330,1,5,10001
331,1,3,10001
332,1,0,10001
333,1,71,10001
334,1,0,10001
335,2,0,0
336,2,0,0
337,2,0,0
338,1,0,10001
339,2,19,4118
340,1,35,10001
341,2,0,2880
342,2,2,7198
343,1,484,10001
344,2,0,0
345,2,0,149
346,2,0,0
347,2,1,6094
348,2,0,0
349,1,33,10001
350,1,0,10001
351,1,26,10001
352,2,0,0
353,1,0,10001
354,2,0,0
355,2,0,0
356,1,230,10001
357,1,0,10001
358,2,0,0
359,1,63,10001
360,2,0,0
361,1,0,10001
362,2,0,0
363,2,0,0
364,2,0,1
365,1,0,10001
366,1,98,10001
367,2,0,0
368,1,17,10001
369,1,0,10001
370,1,70,10001
371,2,0,114
372,2,0,7
373,2,0,8896
374,2,0,3122
375,1,7,10001
376,1,0,10001
377,2,5,40
378,2,0,0
379,1,15,10001
380,2,0,5859
381,2,0,5
382,2,0,5244
383,1,16,10001
384,1,21,10001
385,1,0,10001
386,1,76,10001
387,2,0,1
388,1,0,10001
389,1,6,10001
390,1,601,10001
391,2,0,0
392,1,31,10001
393,1,0,10001
394,1,0,10001
395,2,0,0
396,2,0,0
397,1,0,10001
398,2,0,0
399,2,0,154
400,2,8,3636
401,2,0,10650
402,1,0,10001
403,2,3,56
404,2,0,611
405,2,0,1
406,1,0,10001
407,2,0,2900
408,1,0,10001
409,2,23,7733
410,2,0,127
411,2,13,4320
412,1,1,10001
413,2,7,8676
414,2,0,0
415,2,0,189
416,2,0,122
417,1,165,10001
418,2,4,5268
419,2,27,2001
420,2,0,0
421,2,39,5260
422,1,4,10001
423,1,0,10001
424,2,0,0
425,1,0,10001
426,1,211,10001
427,2,0,50
428,2,0,0
429,2,0,925
430,2,25,1678
431,2,0,0
432,2,0,1
433,2,0,0
434,2,0,0
435,2,0,1
436,1,0,10001
437,1,0,10001
438,2,0,5627
439,2,0,1
440,2,3,26
441,1,1,10001
442,2,6,31
443,1,282,10001
444,1,58,10001
445,1,14,10001
446,2,0,0
447,1,14,10001
448,1,0,10001
449,2,0,0
450,2,0,0
451,1,0,10001
452,2,5,1650
453,1,5,10001
454,2,0,0
455,1,108,10001
456,1,13,10001
457,1,7,10001
458,1,0,10001
459,2,0,0
460,1,0,10001
461,1,0,10001
462,1,4,10001
463,1,19,10001
464,2,0,0
465,1,6,10001
466,2,4,26
467,1,9,10001
468,2,0,0
469,1,0,10001
470,1,69,10001
471,2,0,0
472,1,29,10001
473,2,4,50
474,2,0,0
475,1,3,10001
476,1,1,10001
477,1,11,10001
478,2,9,369
479,2,0,0
480,1,1,10001
481,2,0,1
482,1,0,10001
483,1,96,10001
484,2,0,176
485,1,4,10001
486,1,2,10001
487,1,4295,10001
488,2,0,23
489,2,0,0
490,1,22,10001
491,2,2,5
492,2,0,148
493,2,0,0
494,1,0,10001
495,2,2,9036
496,2,0,2848
497,2,0,0
498,2,2,292
499,2,0,7
500,2,0,1
501,2,0,0
502,1,296,10001
503,2,0,0
504,2,0,0
505,2,0,2320
506,1,44,10001
507,2,0,111
508,2,0,3594
509,2,1,81
510,1,5,10001
511,2,0,0
512,1,13,10001
513,2,0,46
514,2,0,0
515,1,5,10001
516,1,0,10001
517,2,0,1
518,1,0,10001
519,2,0,1279
520,2,0,0
521,2,0,0
522,2,0,1
523,2,0,1
524,1,0,10001
525,2,0,0
526,2,0,0
527,2,0,22
528,2,0,226
529,1,0,10001
530,2,0,1
531,1,0,10001
532,1,0,10001
533,2,0,1
534,2,0,0
535,1,16,10001
536,2,0,42
537,1,4,10001
538,2,0,116
539,1,452,10001
540,2,0,0
541,2,0,0
542,1,0,10001
543,2,0,0
544,2,0,0
545,1,0,10001
546,1,0,10001
547,1,0,10001
548,2,0,0
549,1,151,10001
550,1,0,10001
551,1,513,10001
552,1,1,10001
553,2,0,0
554,1,3,10001
555,1,384,10001
556,2,0,0
557,1,0,10001
558,1,0,10001
559,2,0,4773
560,1,0,10001
561,1,186,10001
562,1,19,10001
563,1,3,10001
564,2,2,1617
565,2,0,41
566,2,0,0
567,2,0,6587
568,1,0,10001
569,1,471,10001
570,2,0,0
571,1,8,10001
572,1,1,10001
573,2,0,122
574,2,0,0
575,2,0,0
576,2,9,2152
577,1,1,10001
578,1,0,10001
579,2,0,1
580,1,32,10001
581,1,0,10001
582,1,9,10001
583,2,0,148
584,2,0,0
585,2,0,0
586,2,0,0
587,1,1400,10001
588,2,4,6243
589,1,8,10001
590,2,0,0
591,1,37,10001
592,1,21,10001
593,2,0,74
594,2,0,2639
595,2,0,0
596,1,112,10001
597,2,0,1266
598,2,0,1
599,2,0,0
600,2,0,194
601,2,0,1641
602,2,0,50
603,2,4,965
604,1,0,10001
605,1,41,10001
606,2,0,319
607,2,0,0
608,2,0,7558
609,1,41,10001
610,2,6,1466
611,2,0,1
612,1,14,10001
613,1,0,10001
614,1,0,10001
615,2,0,0
616,1,8,10001
617,1,0,10001
618,1,0,10001
619,1,26,10001
620,2,0,0
621,2,0,422
622,1,1,10001
623,2,3,1819
624,2,6,193
625,2,0,0
626,2,0,1
627,1,46,10001
628,2,0,0
629,2,0,18
630,1,0,10001
631,1,0,10001
632,2,0,2
633,2,0,0
634,2,0,0
635,2,0,64
636,2,0,3947
637,2,0,217
638,2,0,0
639,2,0,0
640,1,76,10001
641,1,41,10001
642,2,1,7381
643,2,0,0
644,1,178,10001
645,1,26,10001
646,1,0,10001
647,1,4,10001
648,2,0,0
649,2,0,1
650,2,0,8797
651,2,0,0
652,1,0,10001
653,2,0,0
654,2,0,0
655,2,0,0
656,2,0,610
657,1,0,10001
658,2,0,0
659,1,0,10001
660,2,0,0
661,1,8,10001
662,2,0,1
663,1,541,10001
664,1,2,10001
665,1,0,10001
666,2,0,0
667,1,0,10001
668,1,6,10001
669,1,41,10001
670,2,0,0
671,2,0,8
672,1,685,10001
673,1,0,10001
674,1,1,10001
675,2,0,7
676,1,19,10001
677,2,0,0
678,2,0,0
679,1,121,10001
680,2,0,0
681,1,0,10001
682,2,0,2273
683,2,0,1
684,2,0,0
685,1,0,10001
686,1,205,10001
687,2,0,297
688,2,0,0
689,2,0,2446
690,2,0,14
691,1,2,10001
692,1,4,10001
693,1,0,10001
694,2,0,0
695,2,12,8474
696,1,78,10001
697,1,0,10001
698,2,0,13
699,1,4,10001
700,2,5,2202
701,2,0,0
702,2,0,4
703,2,0,4807
704,1,62,10001
705,1,2,10001
706,1,30,10001
707,1,24,10001
708,2,15,40
709,1,12,10001
710,2,0,65
711,2,0,119
712,2,4,5
713,2,0,0
714,1,0,10001
715,2,0,0
716,2,7,319
717,1,25,10001
718,1,6,10001
719,2,0,2777
720,1,0,10001
721,2,0,0
722,1,28,10001
723,2,0,1
724,2,0,564
725,2,6,23
726,2,0,0
727,1,4,10001
728,2,0,0
729,1,27,10001
730,2,0,0
731,2,5,6
732,2,0,1
733,1,0,10001
734,1,0,10001
735,1,9,10001
736,2,0,0
737,2,0,0
738,2,0,6
739,2,7,5953
740,1,190,10001
741,2,0,0
742,2,18,9177
743,1,0,10001
744,2,0,0
745,2,0,0
746,2,0,6
747,2,0,1561
748,1,7,10001
749,1,14,10001
750,2,0,735
751,1,0,10001
752,2,16,497
753,1,4,10001
754,1,4,10001
755,2,0,1
756,2,0,0
757,2,0,3492
758,1,99,10001
759,2,0,0
760,1,0,10001
761,2,0,3
762,2,0,1
763,1,2,10001
764,2,0,0
765,1,0,10001
766,2,0,0
767,2,0,0
768,1,14,10001
769,2,0,0
770,2,0,0
771,2,0,20
772,2,4,10426
773,2,0,0
774,2,0,334
775,1,15,10001
776,2,0,0
777,2,18,7698
778,2,0,54
779,2,0,4
780,1,0,10001
781,2,0,0
782,2,5,28
783,1,23,10001
784,2,0,5737
785,2,0,272
786,2,6,4901
787,2,0,7624
788,2,0,0
789,1,969,10001
790,2,12,3022
791,1,0,10001
792,1,5,10001
793,2,0,0
794,2,0,0
795,2,0,0
796,2,2,3160
797,1,217,10001
798,1,0,10001
