Scenario_Number,Solution_Type,First_Solution_Time,Final_Solution_Time
0,1,0,10001
1,1,0,10001
2,1,118,10001
3,1,2110,10001
4,1,6064,10001
5,1,37,10001
6,1,378,10001
7,2,0,0
8,1,26,10001
9,1,26,10001
10,1,209,10001
11,1,18,10001
12,1,30,10001
13,1,155,10001
14,1,4190,10001
15,1,8,10001
16,1,0,10001
17,1,204,10001
18,1,451,10001
19,1,0,10001
20,1,27,10001
21,1,3,10001
22,1,19,10001
23,1,0,10001
24,1,0,10001
25,1,8707,10001
26,1,39,10001
27,1,19,10001
28,1,935,10001
29,1,0,10001
30,1,0,10001
31,1,0,10001
32,0,10001,10001
33,1,214,10001
34,1,98,10001
35,1,20,10001
36,1,0,10001
37,2,0,0
38,1,0,10001
39,1,25,10001
40,1,2,10001
41,1,36,10001
42,1,164,10001
43,1,0,10001
44,1,11,10001
45,1,0,10001
46,1,0,10001
47,1,20,10001
48,0,10001,10001
49,0,10001,10001
50,2,0,0
51,1,190,10001
52,1,0,10001
53,1,125,10001
54,1,11,10001
55,1,3,10001
56,1,105,10001
57,1,182,10001
58,1,2,10001
59,1,7,10001
60,1,10,10001
61,1,356,10001
62,1,25,10001
63,1,8617,10001
64,1,0,10001
65,1,478,10001
66,1,1621,10001
67,1,79,10001
68,1,2,10001
69,1,4,10001
70,1,16,10001
71,1,1,10001
72,1,30,10001
73,1,1,10001
74,1,241,10001
75,2,106,3590
76,2,0,0
77,1,12,10001
78,1,140,10001
79,0,10001,10001
80,1,6494,10001
81,1,2,10001
82,1,1,10001
83,1,41,10001
84,0,10001,10001
85,1,0,10001
86,1,57,10001
87,0,10001,10001
88,2,0,0
89,1,0,10001
90,0,10001,10001
91,1,448,10001
92,1,103,10001
93,1,1,10001
94,1,5,10001
95,1,500,10001
96,1,105,10001
97,1,109,10001
98,1,13,10001
99,2,0,1
100,1,1,10001
101,1,11,10001
102,1,15,10001
103,1,0,10001
104,1,0,10001
105,1,5,10001
106,1,3221,10001
107,1,154,10001
108,1,38,10001
109,1,0,10001
110,2,0,377
111,1,34,10001
112,1,0,10001
113,1,22,10001
114,1,1,10001
115,1,5,10001
116,1,11,10001
117,1,93,10001
118,1,4,10001
119,1,0,10001
120,1,0,10001
121,1,70,10001
122,1,0,10001
123,1,1256,10001
124,1,2661,10001
125,1,80,10001
126,1,4794,10001
127,1,0,10001
128,1,2,10001
129,2,12,845
130,1,1607,10001
131,1,71,10001
132,0,10001,10001
133,1,0,10001
134,1,3106,10001
135,1,2386,10001
136,1,38,10001
137,1,1,10001
138,1,94,10001
139,1,0,10001
140,1,36,10001
141,1,583,10001
142,1,1717,10001
143,1,49,10001
144,0,10001,10001
145,1,0,10001
146,1,11,10001
147,0,10001,10001
148,1,0,10001
149,1,66,10001
150,1,1,10001
151,1,956,10001
152,1,124,10001
153,1,0,10001
154,1,9,10001
155,1,154,10001
156,1,1719,10001
157,1,3639,10001
158,1,63,10001
159,1,55,10001
160,1,220,10001
161,1,386,10001
162,1,60,10001
163,1,308,10001
164,1,0,10001
165,1,0,10001
166,1,106,10001
167,1,36,10001
168,1,21,10001
169,1,455,10001
170,1,369,10001
171,1,931,10001
172,1,1253,10001
173,1,0,10001
174,1,8,10001
175,1,1691,10001
176,1,4,10001
177,1,1026,10001
178,1,8766,10001
179,1,731,10001
180,1,677,10001
181,1,1,10001
182,1,0,10001
183,1,122,10001
184,1,5,10001
185,1,2941,10001
186,1,2649,10001
187,1,101,10001
188,1,5148,10001
189,1,5,10001
190,1,423,10001
191,1,512,10001
192,1,0,10001
193,2,0,1896
194,1,41,10001
195,1,9661,10001
196,1,86,10001
197,1,158,10001
198,1,440,10001
199,1,30,10001
200,1,415,10001
201,1,1,10001
202,1,322,10001
203,1,498,10001
204,1,1,10001
205,1,9,10001
206,1,3070,10001
207,1,2215,10001
208,1,247,10001
209,1,2967,10001
210,2,47,2132
211,1,82,10001
212,1,187,10001
213,1,0,10001
214,1,0,10001
215,1,42,10001
216,1,1825,10001
217,1,2248,10001
218,0,10001,10001
219,1,7,10001
220,0,10001,10001
221,1,4,10001
222,1,2,10001
223,1,60,10001
224,1,839,10001
225,0,10001,10001
226,1,0,10001
227,1,2,10001
228,1,536,10001
229,1,50,10001
230,1,385,10001
231,1,49,10001
232,1,7,10001
233,1,154,10001
234,1,0,10001
235,1,241,10001
236,1,28,10001
237,1,14,10001
238,1,0,10001
239,1,2,10001
240,1,0,10001
241,1,128,10001
242,1,0,10001
243,1,58,10001
244,1,8,10001
245,1,5,10001
246,1,11,10001
247,1,165,10001
248,1,2,10001
249,1,422,10001
250,1,116,10001
251,0,10001,10001
252,1,162,10001
253,1,951,10001
254,1,28,10001
255,1,238,10001
256,1,5,10001
257,1,324,10001
258,1,31,10001
259,0,10001,10001
260,0,10001,10001
261,1,1342,10001
262,0,10001,10001
263,1,0,10001
264,1,5,10001
265,1,3,10001
266,0,10001,10001
267,1,0,10001
268,1,2292,10001
269,2,0,1
270,1,0,10001
271,1,6671,10001
272,1,0,10001
273,1,29,10001
274,1,65,10001
275,1,38,10001
276,1,2916,10001
277,1,7,10001
278,2,0,1
279,1,2368,10001
280,1,0,10001
281,1,3151,10001
282,1,73,10001
283,1,0,10001
284,1,82,10001
285,1,269,10001
286,1,53,10001
287,1,1218,10001
288,1,26,10001
289,1,212,10001
290,1,716,10001
291,1,0,10001
292,1,73,10001
293,1,87,10001
294,1,14,10001
295,0,10001,10001
296,2,0,95
297,1,76,10001
298,1,1,10001
299,1,1,10001
300,1,424,10001
301,1,3327,10001
302,1,260,10001
303,1,28,10001
304,1,0,10001
305,1,1,10001
306,1,18,10001
307,1,294,10001
308,1,3497,10001
309,1,0,10001
310,1,1148,10001
311,1,188,10001
312,1,613,10001
313,1,4,10001
314,1,3036,10001
315,1,581,10001
316,1,131,10001
317,1,26,10001
318,1,1565,10001
319,0,10001,10001
320,1,190,10001
321,1,0,10001
322,0,10001,10001
323,0,10001,10001
324,1,0,10001
325,1,0,10001
326,1,33,10001
327,1,78,10001
328,1,111,10001
329,1,0,10001
330,1,1249,10001
331,2,0,1
332,1,210,10001
333,0,10001,10001
334,0,10001,10001
335,1,21,10001
336,1,0,10001
337,1,1,10001
338,1,366,10001
339,1,53,10001
340,0,10001,10001
341,1,38,10001
342,1,0,10001
343,1,0,10001
344,1,17,10001
345,1,719,10001
346,1,249,10001
347,1,5,10001
348,0,10001,10001
349,1,0,10001
350,1,1365,10001
351,1,33,10001
352,1,2064,10001
353,1,124,10001
354,1,74,10001
355,1,17,10001
356,1,605,10001
357,1,37,10001
358,1,213,10001
359,1,1152,10001
360,1,1,10001
361,0,10001,10001
362,1,0,10001
363,1,304,10001
364,1,11,10001
365,1,1,10001
366,1,0,10001
367,1,238,10001
368,1,62,10001
369,1,21,10001
370,1,157,10001
371,1,2860,10001
372,1,5,10001
373,1,34,10001
374,1,0,10001
375,1,637,10001
376,1,25,10001
377,1,8,10001
378,1,459,10001
379,1,0,10001
380,1,4571,10001
381,0,10001,10001
382,1,16,10001
383,1,1,10001
384,1,1050,10001
385,0,10001,10001
386,1,127,10001
387,1,112,10001
388,2,0,126
389,1,16,10001
390,1,1256,10001
391,1,17,10001
392,2,0,1
393,1,13,10001
394,1,0,10001
395,1,8,10001
396,1,48,10001
397,1,18,10001
398,1,26,10001
399,1,6,10001
400,1,20,10001
401,1,64,10001
402,1,0,10001
403,1,5,10001
404,1,20,10001
405,1,529,10001
406,1,197,10001
407,1,1,10001
408,1,71,10001
409,1,87,10001
410,1,416,10001
411,1,0,10001
412,1,283,10001
413,1,0,10001
414,1,17,10001
415,1,18,10001
416,1,6,10001
417,1,322,10001
418,1,17,10001
419,1,45,10001
420,1,1192,10001
421,1,28,10001
422,1,585,10001
423,1,9,10001
424,1,878,10001
425,1,12,10001
426,1,2988,10001
427,1,18,10001
428,1,9,10001
429,0,10001,10001
430,1,85,10001
431,1,43,10001
432,1,1,10001
433,1,0,10001
434,1,32,10001
435,1,82,10001
436,0,10001,10001
437,1,60,10001
438,1,400,10001
439,1,92,10001
440,0,10001,10001
441,1,0,10001
442,0,10001,10001
443,1,29,10001
444,1,1,10001
445,1,7420,10001
446,1,729,10001
447,1,8,10001
448,1,1,10001
449,0,10001,10001
450,2,0,174
451,1,0,10001
452,1,155,10001
453,2,0,0
454,2,0,114
455,1,179,10001
456,1,415,10001
457,1,10,10001
458,0,10001,10001
459,1,1032,10001
460,1,6049,10001
461,1,14,10001
462,1,0,10001
463,1,15,10001
464,1,3,10001
465,1,450,10001
466,1,0,10001
467,1,286,10001
468,1,0,10001
469,1,345,10001
470,1,0,10001
471,0,10001,10001
472,1,1661,10001
473,2,2,3
474,1,165,10001
475,1,394,10001
476,1,33,10001
477,1,30,10001
478,1,6,10001
479,1,486,10001
480,1,319,10001
481,1,115,10001
482,0,10001,10001
483,1,50,10001
484,1,294,10001
485,1,11,10001
486,0,10001,10001
487,1,0,10001
488,1,9828,10001
489,1,1,10001
490,1,17,10001
491,1,172,10001
492,1,12,10001
493,1,21,10001
494,1,0,10001
495,1,156,10001
496,1,0,10001
497,1,25,10001
498,1,143,10001
499,1,1220,10001
500,1,12,10001
501,1,1,10001
502,0,10001,10001
503,1,8892,10001
504,1,6,10001
505,1,23,10001
506,1,6,10001
507,0,10001,10001
508,1,26,10001
509,1,29,10001
510,0,10001,10001
511,1,1,10001
512,1,245,10001
513,1,25,10001
514,1,0,10001
515,2,27,5670
516,1,123,10001
517,2,0,288
518,1,42,10001
519,1,1118,10001
520,1,7,10001
521,1,9211,10001
522,1,0,10001
523,0,10001,10001
524,1,391,10001
525,1,96,10001
526,1,3555,10001
527,1,1645,10001
528,1,72,10001
529,1,74,10001
530,1,4334,10001
531,1,3,10001
532,1,736,10001
533,1,166,10001
534,2,0,15
535,1,142,10001
536,1,323,10001
537,1,1,10001
538,0,10001,10001
539,1,27,10001
540,1,362,10001
541,1,1,10001
542,1,6266,10001
543,1,48,10001
544,1,1183,10001
545,1,104,10001
546,1,14,10001
547,2,0,1
548,1,471,10001
549,0,10001,10001
550,1,58,10001
551,1,0,10001
552,1,48,10001
553,1,292,10001
554,1,979,10001
555,1,88,10001
556,1,188,10001
557,1,0,10001
558,1,26,10001
559,1,6598,10001
560,1,19,10001
561,1,18,10001
562,1,47,10001
563,0,10001,10001
564,1,5,10001
565,1,1401,10001
566,2,0,3423
567,1,1,10001
568,1,560,10001
569,1,0,10001
570,1,5,10001
571,1,1973,10001
572,0,10001,10001
573,1,9,10001
574,1,20,10001
575,1,374,10001
576,1,235,10001
577,1,2,10001
578,1,3139,10001
579,1,0,10001
580,0,10001,10001
581,1,226,10001
582,1,6,10001
583,1,781,10001
584,1,37,10001
585,1,4,10001
586,1,0,10001
587,1,2,10001
588,1,10,10001
589,1,21,10001
590,1,0,10001
591,1,39,10001
592,1,26,10001
593,0,10001,10001
594,1,4525,10001
595,1,1077,10001
596,1,117,10001
597,1,34,10001
598,1,500,10001
599,1,5,10001
600,1,1133,10001
601,1,23,10001
602,1,14,10001
603,1,0,10001
604,1,96,10001
605,1,18,10001
606,1,2008,10001
607,1,778,10001
608,1,0,10001
609,1,20,10001
610,1,0,10001
611,1,62,10001
612,1,254,10001
613,1,948,10001
614,1,1,10001
615,1,2386,10001
616,1,15,10001
617,0,10001,10001
618,1,1,10001
619,1,24,10001
620,1,0,10001
621,1,0,10001
622,1,864,10001
623,1,1,10001
624,2,40,148
625,1,0,10001
626,2,12,13
627,1,0,10001
628,1,57,10001
629,1,0,10001
630,1,2000,10001
631,1,232,10001
632,1,7268,10001
633,1,7,10001
634,1,17,10001
635,1,70,10001
636,1,192,10001
637,2,1,3605
638,2,0,4606
639,1,0,10001
640,1,42,10001
641,1,7,10001
642,1,13,10001
643,1,10,10001
644,1,4467,10001
645,1,17,10001
646,1,27,10001
647,1,1884,10001
648,1,0,10001
649,1,50,10001
650,0,10001,10001
651,1,6305,10001
652,1,6,10001
653,1,30,10001
654,1,64,10001
655,1,191,10001
656,1,38,10001
657,1,8,10001
658,1,100,10001
659,1,32,10001
660,2,0,1
661,1,16,10001
662,1,133,10001
663,2,0,0
664,1,739,10001
665,1,0,10001
666,1,165,10001
667,2,0,0
668,1,0,10001
669,1,0,10001
670,2,3,3
671,1,14,10001
672,1,152,10001
673,1,63,10001
674,1,7,10001
675,1,65,10001
676,1,28,10001
677,1,16,10001
678,2,0,193
679,1,0,10001
680,1,79,10001
681,1,74,10001
682,1,1,10001
683,1,8810,10001
684,1,6207,10001
685,1,0,10001
686,2,0,0
687,1,20,10001
688,0,10001,10001
689,0,10001,10001
690,0,10001,10001
691,1,22,10001
692,1,89,10001
693,1,180,10001
694,1,1954,10001
695,1,865,10001
696,1,373,10001
697,1,1,10001
698,1,313,10001
699,1,15,10001
700,1,33,10001
701,1,0,10001
702,1,666,10001
703,1,658,10001
704,1,3,10001
705,0,10001,10001
706,1,71,10001
707,1,905,10001
708,1,4,10001
709,0,10001,10001
710,0,10001,10001
711,1,0,10001
712,1,130,10001
713,1,103,10001
714,1,39,10001
715,1,25,10001
716,1,2633,10001
717,1,196,10001
718,1,1,10001
719,1,3,10001
720,1,267,10001
721,2,0,1
722,1,7,10001
723,0,10001,10001
724,1,292,10001
725,1,648,10001
726,1,0,10001
727,0,10001,10001
728,0,10001,10001
729,1,75,10001
730,1,193,10001
731,1,0,10001
732,1,6,10001
733,1,42,10001
734,1,900,10001
735,1,10,10001
736,1,11,10001
737,1,63,10001
738,1,11,10001
739,1,1535,10001
740,1,5046,10001
741,1,1061,10001
742,1,1401,10001
743,2,0,1
744,1,50,10001
745,1,37,10001
746,1,329,10001
747,1,5387,10001
748,1,21,10001
749,1,666,10001
750,1,30,10001
751,1,0,10001
752,1,0,10001
753,1,0,10001
754,1,1344,10001
755,1,1,10001
756,1,27,10001
757,1,655,10001
758,1,0,10001
759,1,10,10001
760,1,91,10001
761,1,170,10001
762,1,1,10001
763,1,5166,10001
764,1,822,10001
765,1,529,10001
766,1,82,10001
767,0,10001,10001
768,1,147,10001
769,1,0,10001
770,1,57,10001
771,1,0,10001
772,1,0,10001
773,1,2264,10001
774,1,0,10001
775,1,1,10001
776,1,167,10001
777,1,0,10001
778,1,61,10001
779,1,171,10001
780,1,0,10001
781,1,116,10001
782,0,10001,10001
783,1,22,10001
784,1,132,10001
785,1,82,10001
786,1,27,10001
787,1,323,10001
788,1,2004,10001
789,1,3487,10001
790,1,641,10001
791,1,500,10001
792,1,0,10001
793,1,61,10001
794,0,10001,10001
795,1,327,10001
796,1,136,10001
797,1,75,10001
798,2,12,13
799,1,5,10001
800,1,379,10001
801,1,1,10001
802,1,1,10001
803,1,0,10001
804,1,0,10001
805,1,1,10001
806,1,2695,10001
807,1,4,10001
808,2,0,1
809,1,604,10001
810,1,20,10001
811,1,13,10001
812,1,1,10001
813,1,369,10001
814,1,0,10001
815,0,10001,10001
816,1,769,10001
817,0,10001,10001
818,0,10001,10001
819,1,752,10001
820,1,3,10001
821,1,67,10001
822,1,231,10001
823,0,10001,10001
824,1,420,10001
825,1,1,10001
826,1,145,10001
827,1,0,10001
828,1,0,10001
829,1,214,10001
830,1,1770,10001
831,1,1,10001
832,1,150,10001
833,1,0,10001
834,1,160,10001
835,0,10001,10001
836,1,65,10001
837,1,709,10001
838,1,0,10001
839,1,37,10001
840,1,1,10001
841,1,0,10001
842,1,12,10001
843,1,58,10001
844,1,57,10001
845,0,10001,10001
846,1,43,10001
847,1,0,10001
848,1,201,10001
849,1,0,10001
850,1,1,10001
851,1,123,10001
852,1,52,10001
853,1,473,10001
854,1,81,10001
855,1,81,10001
856,1,24,10001
857,1,0,10001
858,1,25,10001
859,1,489,10001
860,1,0,10001
861,1,6099,10001
862,1,7847,10001
863,2,0,1657
864,0,10001,10001
865,1,5768,10001
866,1,126,10001
867,1,83,10001
868,1,9,10001
869,2,0,3438
870,1,7506,10001
871,1,0,10001
872,1,20,10001
873,1,12,10001
874,0,10001,10001
875,1,1314,10001
876,1,48,10001
877,1,9225,10001
878,1,47,10001
879,2,0,0
880,1,17,10001
881,1,341,10001
882,1,0,10001
883,1,1,10001
884,2,0,0
885,1,1,10001
886,2,0,167
887,1,60,10001
888,1,1,10001
889,1,0,10001
890,1,20,10001
891,1,9,10001
892,1,89,10001
893,1,6548,10001
894,1,26,10001
895,1,0,10001
896,1,86,10001
897,2,9,17
898,1,11,10001
899,0,10001,10001
900,1,69,10001
901,1,1,10001
902,1,4,10001
903,1,244,10001
904,1,4,10001
905,1,74,10001
906,1,2439,10001
907,1,0,10001
908,1,1,10001
909,1,222,10001
910,1,310,10001
911,1,1,10001
912,1,34,10001
913,1,37,10001
914,1,0,10001
915,2,0,8544
916,2,0,1487
917,0,10001,10001
918,1,64,10001
919,1,1,10001
920,1,75,10001
921,1,0,10001
922,1,0,10001
923,0,10001,10001
924,1,194,10001
925,1,135,10001
926,2,0,38
927,1,1,10001
928,1,1,10001
929,1,525,10001
930,1,1,10001
931,1,0,10001
932,1,4,10001
933,2,0,0
934,1,0,10001
935,1,1529,10001
936,1,1,10001
937,1,11,10001
938,1,1799,10001
939,1,176,10001
940,1,3659,10001
941,2,0,1477
942,1,36,10001
943,0,10001,10001
944,1,190,10001
945,1,3,10001
946,1,0,10001
947,1,26,10001
948,1,15,10001
949,1,5901,10001
950,1,0,10001
951,1,841,10001
952,1,0,10001
953,1,0,10001
954,1,3,10001
955,1,627,10001
956,0,10001,10001
957,1,1931,10001
958,1,843,10001
959,1,187,10001
960,1,356,10001
961,1,2,10001
962,1,2096,10001
963,1,18,10001
964,1,881,10001
965,1,9,10001
966,1,4,10001
967,1,392,10001
968,1,305,10001
969,1,121,10001
970,1,9910,10001
971,1,13,10001
972,0,10001,10001
973,1,0,10001
974,1,1560,10001
975,0,10001,10001
976,1,5,10001
977,0,10001,10001
978,1,26,10001
979,1,2378,10001
980,1,9,10001
981,1,0,10001
982,1,25,10001
983,0,10001,10001
984,1,1,10001
985,1,62,10001
986,1,0,10001
987,2,0,31
988,1,16,10001
989,2,0,1
990,1,5,10001
991,1,3,10001
992,1,3171,10001
993,1,0,10001
994,1,2,10001
995,1,47,10001
996,1,1189,10001
997,0,10001,10001
998,1,0,10001
999,1,1,10001
